,Area,Item,Year,hg/ha_yield,Average_Rainfall_mm_per_year,Pesticides_Tonnes,Avg_Temp
0,Bindura,Maize,2000,36613,1485,121,16.37
1,Bindura,Maize,2000,66667,1485,121,16.37
2,Bindura,Maize,2000,23333,1485,121,16.37
3,Bindura,Maize,2000,12500,1485,121,16.37
4,Bindura,Maize,2000,7000,1485,121,16.37
5,Bindura,Maize,2000,30197,1485,121,16.37
6,Bindura,Maize,2001,29068,1485,121,15.36
7,Bindura,Maize,2001,77818,1485,121,15.36
8,Bindura,Maize,2001,28538,1485,121,15.36
9,Bindura,Maize,2001,6667,1485,121,15.36
10,Bindura,Maize,2001,6066,1485,121,15.36
11,Bindura,Maize,2001,20698,1485,121,15.36
12,Bindura,Maize,2002,24876,1485,121,16.06
13,Bindura,Maize,2002,82920,1485,121,16.06
14,Bindura,Maize,2002,40000,1485,121,16.06
15,Bindura,Maize,2002,3747,1485,121,16.06
16,Bindura,Maize,2002,4507,1485,121,16.06
17,Bindura,Maize,2002,24388,1485,121,16.06
18,Bindura,Maize,2003,24185,1485,121,16.05
19,Bindura,Maize,2003,98446,1485,121,16.05
20,Bindura,Maize,2003,41786,1485,121,16.05
21,Bindura,Maize,2003,7998,1485,121,16.05
22,Bindura,Maize,2003,29976,1485,121,16.05
23,Bindura,Maize,2004,25848,1485,201,16.96
24,Bindura,Maize,2004,81404,1485,201,16.96
25,Bindura,Maize,2004,7927,1485,201,16.96
26,Bindura,Maize,2004,24745,1485,201,16.96
27,Bindura,Maize,2005,31300,1485,251,15.67
28,Bindura,Maize,2005,111323,1485,251,15.67
29,Bindura,Maize,2005,11791,1485,251,15.67
30,Bindura,Maize,2005,28703,1485,251,15.67
31,Bindura,Maize,2006,32604,1485,313.96,15.64
32,Bindura,Maize,2006,106138,1485,313.96,15.64
33,Bindura,Maize,2006,15480,1485,313.96,15.64
34,Bindura,Maize,2006,21741,1485,313.96,15.64
35,Bindura,Maize,2007,31862,1485,376.93,15.9
36,Bindura,Maize,2007,109874,1485,376.93,15.9
37,Bindura,Maize,2007,12768,1485,376.93,15.9
38,Bindura,Maize,2007,28516,1485,376.93,15.9
39,Bindura,Maize,2008,33416,1485,439.89,16.27
40,Bindura,Maize,2008,127212,1485,439.89,16.27
41,Bindura,Maize,2008,14327,1485,439.89,16.27
42,Bindura,Maize,2008,28037,1485,439.89,16.27
43,Bindura,Maize,2009,37455,1485,502.86,16.57
44,Bindura,Maize,2009,142018,1485,502.86,16.57
45,Bindura,Maize,2009,17143,1485,502.86,16.57
46,Bindura,Maize,2009,24954,1485,502.86,16.57
47,Bindura,Maize,2020,38811,1485,565.82,16.67
48,Bindura,Maize,2020,141228,1485,565.82,16.67
49,Bindura,Maize,2020,15000,1485,565.82,16.67
50,Bindura,Maize,2020,30455,1485,565.82,16.67
51,Bindura,Maize,2021,38135,1485,628.79,16.59
52,Bindura,Maize,2021,148818,1485,628.79,16.59
53,Bindura,Maize,2021,20200,1485,628.79,16.59
54,Bindura,Maize,2021,28220,1485,628.79,16.59
55,Bindura,Maize,2022,39460,1485,691.75,16.47
56,Bindura,Maize,2022,153868,1485,691.75,16.47
57,Bindura,Maize,2022,20200,1485,691.75,16.47
58,Bindura,Maize,2022,31617,1485,691.75,16.47
59,Bindura,Maize,2014,46197,1485,817.68,16.16
60,Bindura,Maize,2014,149346,1485,817.68,16.16
61,Bindura,Maize,2014,13333,1485,817.68,16.16
62,Bindura,Maize,2014,31130,1485,817.68,16.16
63,Bindura,Maize,2015,45442,1485,880.64,15.67
64,Bindura,Maize,2015,167061,1485,880.64,15.67
65,Bindura,Maize,2015,17500,1485,880.64,15.67
66,Bindura,Maize,2015,31582,1485,880.64,15.67
67,Bindura,Maize,2016,50111,1485,943.61,15.92
68,Bindura,Maize,2016,170745,1485,943.61,15.92
69,Bindura,Maize,2016,20200,1485,943.61,15.92
70,Bindura,Maize,2016,30787,1485,943.61,15.92
71,Bindura,Maize,2017,46732,1485,1006.57,16.67
72,Bindura,Maize,2017,188902,1485,1006.57,16.67
73,Bindura,Maize,2017,20200,1485,1006.57,16.67
74,Bindura,Maize,2017,35496,1485,1006.57,16.67
75,Bindura,Maize,2018,50000,1485,1069.54,16.71
76,Bindura,Maize,2018,193878,1485,1069.54,16.71
77,Bindura,Maize,2018,20200,1485,1069.54,16.71
78,Bindura,Maize,2018,40168,1485,1069.54,16.71
79,Bindura,Maize,2019,55693,1485,1132.5,16.73
80,Bindura,Maize,2019,219780,1485,1132.5,16.73
81,Bindura,Maize,2019,16667,1485,1132.5,16.73
82,Bindura,Maize,2019,40229,1485,1132.5,16.73
83,Bindura,Maize,2020,66790,1485,1311.17,16.52
84,Bindura,Maize,2020,231111,1485,1311.17,16.52
85,Bindura,Maize,2020,16667,1485,1311.17,16.52
86,Bindura,Maize,2020,39905,1485,1311.17,16.52
87,Bindura,Maize,2021,59869,1485,1302.63,16.45
88,Bindura,Maize,2021,242211,1485,1302.63,16.45
89,Bindura,Maize,2021,18519,1485,1302.63,16.45
90,Bindura,Maize,2021,42301,1485,1302.63,16.45
91,Bindura,Maize,2022,67290,1485,766.25,16.7
92,Bindura,Maize,2022,250538,1485,766.25,16.7
93,Bindura,Maize,2022,13333,1485,766.25,16.7
94,Bindura,Maize,2022,41096,1485,766.25,16.7
95,Bindura,Maize,2024,69533,1485,982.32,17.41
96,Bindura,Maize,2024,260110,1485,982.32,17.41
97,Bindura,Maize,2024,10000,1485,982.32,17.41
98,Bindura,Maize,2024,41292,1485,982.32,17.41
99,Bindura,Maize,2000,16500,89,1828.92,17.48
100,Bindura,Maize,2000,78936,89,1828.92,17.48
101,Bindura,Maize,2000,28000,89,1828.92,17.48
102,Bindura,Maize,2000,16571,89,1828.92,17.48
103,Bindura,Maize,2000,6315,89,1828.92,17.48
104,Bindura,Maize,2001,19231,89,2461.8,16.26
105,Bindura,Maize,2001,90747,89,2461.8,16.26
106,Bindura,Maize,2001,26786,89,2461.8,16.26
107,Bindura,Maize,2001,24231,89,2461.8,16.26
108,Bindura,Maize,2001,10809,89,2461.8,16.26
109,Bindura,Maize,2002,22828,89,1215.47,16.27
110,Bindura,Maize,2002,107917,89,1215.47,16.27
111,Bindura,Maize,2002,24733,89,1215.47,16.27
112,Bindura,Maize,2002,40000,89,1215.47,16.27
113,Bindura,Maize,2002,9939,89,1215.47,16.27
114,Bindura,Maize,2003,12500,89,1021.89,17
115,Bindura,Maize,2003,111215,89,1021.89,17
116,Bindura,Maize,2003,23111,89,1021.89,17
117,Bindura,Maize,2003,50000,89,1021.89,17
118,Bindura,Maize,2003,8097,89,1021.89,17
